Timestamp,PacketId,MissionTime,ErrorCode,Altitude,Pressure,Temperature,Voltage,GpsLatitude,GpsLongitude,GpsAltitude,DescentRate,PayloadAltitude,PayloadTemperature,PayloadVoltage,PayloadGpsLatitude,PayloadGpsLongitude,PayloadGpsAltitude,PayloadSeparationSuccess,PayloadStatus,Roll,Pitch,Yaw,EmergencyParachuteActive
2026-06-07T12:52:14.012Z,1,00:00:00,0000,0.00,101325.00,27.89,12.04,28.535798,77.391321,0.00,44.64,0.00,29.21,11.90,28.535080,77.390766,-0.74,0,Attached,5.08,2.58,2.37,0
2026-06-07T12:52:14.512Z,2,00:00:0.5,0000,2.12,101299.48,28.92,11.97,28.535734,77.390691,2.12,45.32,3.39,28.57,11.86,28.535392,77.391473,5.04,0,Attached,2.26,-4.14,7.85,0
2026-06-07T12:52:15.011Z,3,00:00:01,0000,6.00,101252.84,27.39,12.03,28.535386,77.390874,6.00,47.33,7.73,25.56,11.78,28.535829,77.390834,8.94,0,Attached,-9.82,-2.15,1.66,0
2026-06-07T12:52:15.511Z,4,00:00:1.5,0000,11.02,101192.47,28.62,11.96,28.535595,77.390746,11.02,50.00,1.70,28.62,11.79,28.535579,77.391127,0.55,0,Attached,4.87,1.55,-2.37,0
2026-06-07T12:52:16.010Z,5,00:00:02,0000,16.97,101121.03,28.42,12.00,28.535472,77.390787,16.97,43.84,21.79,27.96,11.73,28.535100,77.391414,22.84,0,Attached,5.41,1.05,-4.23,0
2026-06-07T12:52:16.508Z,6,00:00:2.5,0000,23.71,101040.05,27.54,12.01,28.535748,77.390625,23.71,45.59,31.47,26.66,11.86,28.535972,77.390997,29.10,0,Attached,-3.50,2.13,7.64,0
2026-06-07T12:52:17.011Z,7,00:00:03,0000,31.17,100950.59,27.91,12.05,28.535176,77.391477,31.17,44.77,42.09,27.67,11.92,28.535567,77.391407,41.76,0,Attached,-5.44,2.78,10.01,0
2026-06-07T12:52:17.506Z,8,00:00:3.5,0000,39.28,100853.42,27.47,12.02,28.535772,77.391226,39.28,49.24,30.42,28.59,11.90,28.535915,77.390556,28.72,0,Attached,-9.89,-3.41,3.85,0
2026-06-07T12:52:18.007Z,9,00:00:04,0000,48.00,100749.14,28.45,11.96,28.535306,77.390971,48.00,46.79,47.59,29.47,11.80,28.535589,77.390591,50.02,0,Attached,-2.11,-4.30,13.86,0
2026-06-07T12:52:18.505Z,10,00:00:4.5,0000,57.27,100638.23,27.70,11.95,28.535651,77.390952,57.27,46.58,64.13,26.00,11.69,28.535149,77.390831,64.89,0,Attached,-3.23,3.22,17.07,0
2026-06-07T12:52:19.004Z,11,00:00:05,0000,67.08,100521.12,27.23,11.99,28.535581,77.391018,67.08,48.03,56.34,26.61,11.82,28.535160,77.391377,54.76,0,Attached,-3.72,-2.03,2.37,0
2026-06-07T12:52:19.505Z,12,00:00:5.5,0000,77.38,100398.14,27.75,11.95,28.535505,77.390828,77.38,44.96,74.53,28.03,11.75,28.535084,77.390769,74.51,0,Attached,1.74,-3.36,11.06,0
2026-06-07T12:52:20.005Z,13,00:00:06,0000,88.17,100269.59,27.47,12.04,28.536016,77.391230,88.17,46.48,79.44,28.73,11.91,28.535406,77.391335,79.42,0,Attached,-0.04,-4.30,12.01,0
2026-06-07T12:52:20.505Z,14,00:00:6.5,0000,99.42,100135.75,27.95,11.96,28.535810,77.391309,99.42,49.87,87.53,29.41,11.73,28.535394,77.391258,86.07,0,Attached,9.31,-4.84,5.31,0
2026-06-07T12:52:21.004Z,15,00:00:07,0000,111.11,99996.84,27.66,11.96,28.535590,77.390872,111.11,45.05,119.10,27.28,11.72,28.535518,77.391470,118.11,0,Attached,-4.49,-3.97,3.75,0
2026-06-07T12:52:21.507Z,16,00:00:7.5,0000,123.23,99853.08,27.13,11.97,28.536034,77.391412,123.23,49.98,135.30,28.16,11.79,28.535590,77.391385,134.42,0,Attached,-8.44,-1.15,8.84,0
2026-06-07T12:52:22.006Z,17,00:00:08,0000,135.75,99704.67,27.60,11.99,28.535986,77.390921,135.75,51.39,138.97,25.77,11.73,28.535239,77.391135,139.56,0,Attached,-0.36,-5.11,14.81,0
2026-06-07T12:52:22.507Z,18,00:00:8.5,0000,148.68,99551.77,27.29,12.03,28.535016,77.391485,148.68,47.82,160.35,29.00,11.86,28.535359,77.391149,159.36,0,Attached,5.46,3.34,11.72,0
2026-06-07T12:52:23.004Z,19,00:00:09,0000,161.98,99394.55,27.43,12.04,28.535193,77.391147,161.98,50.64,167.65,26.90,11.85,28.535662,77.390891,168.03,0,Attached,-7.06,-4.25,26.36,0
2026-06-07T12:52:23.518Z,20,00:00:9.5,0000,175.67,99233.16,25.92,11.96,28.535825,77.391330,175.67,44.98,181.79,26.52,11.66,28.535986,77.391241,180.08,0,Attached,-7.14,-2.89,24.34,0
